ID,start_date,end_date ,duration,Info_source ,news_link ,continent,sub-region,country ,geo_scope,area_name ,ordered_by ,decision_maker,shutdown_type_new,affected_network,full or service-based,Facebook_affected,Twitter_affected,WhatsApp_affected,Instagram_affected,Telegram_affected,other_service_details (specify) ,SMS_and_phone_call_affected,telcos_involved ,gov_ack,official_just,other_just_details,off_statement,actual_cause,other_cause_details,election,violence,hr_abuse_reported,users_notified,users_affected/targetted ,legal_justif,legal_method ,telco_resp,telco_ ack,econ_impact,event ,an_link ,notes
126,6/10/2019,,,News Media Article,https://www.news18.com/news/india/internet-services-in-khair-tehsil-shut-down-as-tension-grips-aligarh-over-toddlers-murder-2180119.html,Asia Pacific,,India ,Level 1,"Khair Tehsil, Aligarh district, Uttar Pradesh state",Local government,District administration,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Yes ,Fake News / Hate Speech / Incendiary Content or Promoting Violence,Precautionary Measure,,Communal Violence,,No ,Yes,Yes,Unknown,Others,Unknown,,,,,Internet Shutdown in Khair Tehsil of Aligarh to prevent the circulation of hate speech and fake news after communal tensions grips the area over toddler's murder,,
127,6/11/2019,,,News Media Article,https://www.greaterkashmir.com/news/kashmir/south-kashmir-two-militants-killed-in-shopian-gunfight-internet-suspended/,Asia Pacific,,India ,Level 1,"Shopian, Jammu and Kashmir",Law Enforcemnet ,,Shutdown,Mobile,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Yes ,Unknown,Precautionary Measure,,Other,Military Action,No ,Unknown,Unknown,Unknown,Others,Unknown,,Unknown,,,Internet Shutdown in Shopian district after security forces gun down two terrorists in Awneera area of South Kashmir’s Shopian District,,
128,6/11/2019,,,News Media Article,https://kashmir.today/gunfight-breaks-out-in-sopore-wadoora-internet-suspended/,Asia Pacific,,India ,Level 1,"Sopore area, Baramulla district, Jammu and Kashmir state",Law Enforcemnet ,,Shutdown,Mobile,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Yes ,Fake News / Hate Speech / Incendiary Content or Promoting Violence,Precautionary Measure,,Other,Military Action,No ,Yes,Unknown,Unknown,Others,Unknown,,Unknown,,,Internet Shutdown in Sopore as a security measure after gunfight broke out between militants and government forces in Wadoora Payeen village of Sopore in North Kashmir’s Baramulla district,,
129,6/11/2019,6/12/2019,,CSO KIO Partners ,https://twitter.com/netblocks/status/1138506590045331456?ref_src=twsrc%5Etfw,Asia Pacific,,Kazakhstan,Level 3,National ,Executive government,,Shutdown,Mobile and broadband,Service-based,TRUE,TRUE,FALSE,TRUE,FALSE,,None,"Beeline (VEON), Kcell (Fintur), Tele2 / ALTEL ",Unknown ,Technical Problems / Infrastructure Failure,,,Election,Protest,Yes ,Unknown,Yes ,Unknown,,Unknown,,Unknown,,,,,Facebook Transparency Report data showed a shutdown on 6/12-6/13.
130,6/12/2019,,,News Media Article,http://www.uniindia.com/news/north/anantnag-attack-5-crpf-personnel-martyred-five-injured-operation-continues/1629668.html,Asia Pacific,,India ,Level 1,"Anantnag, Jammu and Kashmir",State government,State government,Shutdown,Mobile,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Unknown ,Fake News / Hate Speech / Incendiary Content or Promoting Violence,Precautionary Measure,,Other,Military Action,No ,Unknown,Unknown,Unknown,Others,Unknown,,Unknown,,,Internet Shutdown in Anantnag after five CRPF security personnel were martyred and a terrorist was gunned down,,
132,6/14/2019,,,News Media Article,"https://kashmirreader.com/2019/06/14/pulwama-gunfight-train-services-suspended-mobile-internet-shut/

https://www.business-standard.com/article/news-ians/suspected-let-militants-killed-in-j-k-119061400349_1.html",Asia Pacific,,India ,Level 1,"Pulwama, Jammu and Kashmir",State government,State government,Shutdown,Mobile and broadband,Full and Service-based,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Unknown ,Unknown,,,Other,Military Action,No ,Unknown,Unknown,Unknown,Others,Unknown,,Unknown,,,"Internet Shutdown in Pulwama after a gunfight with terrorists broke out in Awantipora, following a joint search operation by team of Army’s 55RR, J&K police’s SOG and paramilitary CRPF.",,
135,6/17/2019,,,News Media Article,https://kashmirlife.net/internet-service-suspended-in-south-kashmirs-anantnag-212398/,Asia Pacific,,India ,Level 1,"Anantnag, Jammu and Kashmir",State government,State government,Shutdown,Mobile,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Unknown ,Fake News / Hate Speech / Incendiary Content or Promoting Violence,Precautionary Measure,,Other,Military Action,No ,Yes,Unknown,Unknown,Others,Unknown,,Unknown,,,"Internet Shutdown in Anantnag after a gunfight in Bidoora, Aknigam village of Achabal area",,
136,6/18/2019,6/18/2019,,News Media Article,"https://netblocks.org/reports/twitter-and-instagram-restricted-in-venezuela-during-national-assembly-session-XB7wk1B7
https://twitter.com/vesinfiltro/status/1142067381004640256",South America,,"Venezuela, Bolivarian Republic of",Level 3,National ,Uknown ,,Shutdown,Mobile and broadband,Service-based,FALSE,TRUE,FALSE,TRUE,FALSE,,,CANTV,No,Unknown ,,,"Information Control
",,No ,unknown ,unknown ,unknown ,,unknown ,,unknown ,,,,,
137,6/19/2019,,,News Media Article,http://www.uniindia.com/anantnag-shuts-on-25th-death-anniversary-of-mirwaiz-qazi-nissar/north/news/1636501.html,Asia Pacific,,India ,Level 1,"Anantnag, Jammu and Kashmir",State government,State government,Shutdown,Mobile,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Unknown ,Fake News / Hate Speech / Incendiary Content or Promoting Violence,Precautionary Measure,,Religious Holiday / Anniversary,,No ,Unknown,Unknown,Unknown,Others,Unknown,,Unknown,,,"Mobile internet services were suspended as a precautionary measure to prevent spread of rumours on death anniversary of founder of Ummat-e-Islami (UeI), Mirwaiz Qazi Nissar Ahmad.",,
138,6/20/2019,,,News Media Article,https://www.medianama.com/2019/06/223-internet-suspended-in-parts-of-west-bengals-north-24-paraganas-district/,Asia Pacific,,India ,Level 1,"North 24 Parganas, West Bengal",State government,West Bengal Government,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Yes ,Other,Precautionary Measure,,Communal Violence,,No ,Unknown,Unknown,Unknown,Others,Unknown,,Unknown,,,Internet Shutdown in North 24 Parganas district of West Bengal after a bomb went off amid clashes between TMC and BJP workers in which three people died and around 10 were injured,,
140,6/20/2019,Unkown ,,News Media Article,http://adengd.net/news/393038,MENA ,,Yemen ,Level 1,,Non-government,,Shutdown,Broadband,Full,,,,,,,None,,Yes ,Sabotage / Third-party Action,,,Other,Armed conflict ,Unknown,Unknown,Unknown,Unknown,,Unknown,,Unknown,,,,,
146,6/23/2019,,,News Media Article,https://www.india.com/news/india/jammu-and-kashmir-encounter-breaks-out-between-security-forces-militants-in-shopian-3697058/,Asia Pacific,,India ,Level 1,"Shopian, Jammu and Kashmir",Law Enforcemnet ,,Shutdown,Mobile,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Yes ,Other,Precautionary Measure,,Other,Military Action,No ,Yes,Unknown,Unknown,Others,Unknown,,Unknown,,,Internet Shutdown in Shopian as a securty measure to ensure safety after gunning down of 4 terrorists in an encounter which broke out in Daramdora Keegam area of Jammu and Kashmir’s Shopian District,,
148,6/26/2019,6/26/2019,,Other,"Facebook Transparency Report

https://www.jpost.com/Middle-East/Widespread-internet-outage-reported-in-Iran-593835
https://www.article19.org/resources/iran-transparent-about-internet-disruptions/
",MENA ,,Iran,Level 3,National,Uknown ,,Shutdown,Mobile and broadband,Full,,,,,,,None,,Unknown ,Technical Problems / Infrastructure Failure,,,Other,It was not clear whether the disruption is part of Iran's plans to move to an internal intranet system ,No,No,Unknown,No,Others,No,,No,,,,,
149,6/28/2019,,,News Media Article,http://www.uniindia.com/news/north/militant-killed-in-badgam-encounter-operation-continues/1646465.html,Asia Pacific,,India ,Level 1,"Badgam, Jammu and Kashmir",Law Enforcemnet ,,Shutdown,Mobile,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Yes ,Fake News / Hate Speech / Incendiary Content or Promoting Violence,Precautionary Measure,,Other,Military Action,No ,Yes,Unknown,Unknown,Others,Unknown,,Unknown,,,Internet Shutdown in Badgam district after a terrorist was neutralised by security forces in an encounter during CASO search operation,,
150,6/30/2019,,,News Media Article,https://www.business-standard.com/article/news-ani/j-k-1-terrorist-killed-in-budgam-encounter-119063000130_1.html,Asia Pacific,,India ,Level 1,"Budgam district, Jammu and Kashmir state",Law Enforcemnet ,"Sub Inspector, Central Reserve Police Force (CRPF) Vinay Kumar",Shutdown,Mobile,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Unknown ,Other,Precautionary Measure,,Other,Military Action,No ,Yes,Unknown,Unknown,Others,Unknown,,Unknown,,,Internet shutdown in Budgam district after exchange of firs between the security forces and terrorists in Chadoora,,
152,7/2/2019,,,News Media Article,https://www.ndtv.com/jaipur-news/7-year-old-girl-allegedly-kidnapped-raped-in-jaipur-2062776,Asia Pacific,,India ,Level 1,"Jaipur city, Rajasthan state",Law Enforcemnet ,Jaipur Police Commissioner Anand Srivastava,Shutdown,Mobile and broadband,Full,,,,,,,None,,Yes ,Fake News / Hate Speech / Incendiary Content or Promoting Violence,,,Protest,,No,Unknown,Unknown,Unknown,Others,Unknown,,Unknown,,,As a Precautionary Measure to prevent public backlash and spread of rumour after the rape of a seven year old girl,,
153,7/5/2019,,,News Media Article,"https://www.newsclick.in/Meerut-Tabrez-Ansari-Internet-Down

https://www.opindia.com/2019/07/meerut-remains-tense-after-muslims-protesting-against-tabrezs-death-turned-violent-main-accused-badar-ali-arrested/",Asia Pacific,,India ,Level 1,"Meerut district, Uttar Pradesh state",State government,Uttar Pradesh government,Shutdown,Mobile and broadband,Full,,,,,,,None,,Yes ,Public Safety / Quell Unrest / Restore Public Order,Precautionary Measure,,Protest,,No ,Yes ,Unknown,Unknown,Others,Unknown,,Unknown,,,Internet shutdown in Meerut as a Precautionary Measure to nip backlash after a lynching incident happened on 30 June,,
