ID,start_date,end_date ,duration,Info_source ,news_link ,continent,sub-region,country ,geo_scope,area_name ,ordered_by ,decision_maker,shutdown_type_new,affected_network,full or service-based,Facebook_affected,Twitter_affected,WhatsApp_affected,Instagram_affected,Telegram_affected,other_service_details (specify) ,SMS_and_phone_call_affected,telcos_involved ,gov_ack,official_just,other_just_details,off_statement,actual_cause,other_cause_details,election,violence,hr_abuse_reported,users_notified,users_affected/targetted ,legal_justif,legal_method ,telco_resp,telco_ ack,econ_impact,event ,an_link ,notes
195,11/9/2019,11/9/2019,,News Media Article,https://thewire.in/tech/ayodhya-verdict-internet-suspended-in-parts-of-india,Asia Pacific,,India ,Level 1,"Rajasthan (also in Meerut and Saharanpur in western Uttar Pradesh, Palwal, Haryana, and Maharashtra)",Law Enforcemnet ,divisional commissioners of Agra and Aligarh,Shutdown,Mobile and broadband,Full and Service-based,TRUE,TRUE,TRUE,FALSE,FALSE,,None,,Yes ,Fake News / Hate Speech / Incendiary Content or Promoting Violence,,,Other,Sensitive court case: Announcement of Ayodhya verdict,No,Unknown,Unknown,Unknown,Others,Unknown,,Unknown,,,Internet services were suspended in the wake of Ayodhya verdict.,,
196,11/10/2019,11/11/2019,,News Media Article,https://wap.business-standard.com/article-amp/pti-stories/internet-services-suspended-in-4-mp-districts-119111000633_1.html,Asia Pacific,,India ,Level 1,"Damoh, Panna, Chhatarpur and Tikamgarh districts, Madhya Pradesh",Law Enforcemnet ,,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Yes ,Other,Precautionary Measure,,Religious Holiday / Anniversary,,No,Unknown,Unknown,Unknown,Others,Unknown,,Unknown,,,This shutdown was imposed because public wanted to carry out processions on occasion of Eid-e-Milad-un-Nabi despite not getting permissions from the authorities. Permissions of all kinds for rallies and processions have been denied in the State by District authorities till November 30th.,,
199,11/16/2019,11/16/2019,,News Media Article,https://netblocks.org/reports/twitter-facebook-and-instagram-restricted-in-venezuela-on-day-of-planned-protests-98aMZv8o,South America,,"Venezuela, Bolivarian Republic of",Level 3,National ,,,Shutdown,Mobile and broadband,Service-based,TRUE,TRUE,FALSE,TRUE,FALSE,,,CANTV,Unknown ,Unknown ,,,"Protests
",,No ,unknown ,unknown ,unknown ,,unknown ,,unknown ,,,,,
200,11/22/2019,Unkown ,,News Media Article,https://www.almashhad-alyemeni.com/150395,MENA ,,Yemen ,Level 1,,Unknown ,,Shutdown,Broadband,Full,,,,,,,None,,Yes ,Technical Problems,,,Unknown ,,Unknown,Unknown,Unknown,Unknown,,Unknown,,Unknown,,,,,
201,12/10/2019,12/11/2019,,News Media Article,https://www.hindustantimes.com/india-news/amid-anti-citizenship-bill-protests-internet-shutdown-in-tripura-arunachal/story-jqR4jxiJexKbKIivV6XZBP.html,Asia Pacific,,India ,Level  2,Arunachal Pradesh,Law Enforcemnet ,,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,SMS,,Yes ,Public Safety / Quell Unrest / Restore Public Order,,,Protest,,No,Yes,Unknown,Unknown,Others,Yes,Section 144 CrCP,Unknown,,,"After the passing of Citizenship(Amendment) Bill in the Lok Sabha, mass protests have been taking place in Tripura. Additional secretary to the Government of Tripura has prohibited SMS services as well as Mobile Internet for a period of 48 hours starting from 2PM on 10th December 2019.",,
202,12/10/2019,12/11/2019,,News Media Article,https://indianexpress.com/article/north-east-india/north-east-bandh-today-live-updates-citizenship-bill-protests-6159534/,Asia Pacific,,India ,Level  2,Tripura ,Law Enforcemnet ,,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,SMS,,Yes ,Public Safety / Quell Unrest / Restore Public Order,,,Protest,,No,Yes,Unknown,Unknown,Others,Yes,Section 144 CrCP,Unknown,,,"After the passing of Citizenship(Amendment) Bill in the Lok Sabha, mass protests have been taking place in Tripura. Additional secretary to the Government of Tripura has prohibited SMS services as well as Mobile Internet for a period of 48 hours starting from 2PM on 10th December 2019.",,
203,12/11/2019,12/11/2019,,News Media Article,https://www.indiatoday.in/india/story/internet-shutdown-blackout-assam-citizenship-amendment-bill-protests-1627435-2019-12-11,Asia Pacific,,India ,Level  2,10 districts of Assam,Law Enforcemnet ,,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,SMS,,Yes ,Public Safety / Quell Unrest / Restore Public Order,,,Protest,,No,Yes,Unknown,Unknown,Others,Yes,Section 144 CrCP,Unknown,,,"Owning to protests about the Citizenship amendment bill, there have been wide spread protests taking place in Assam. Internet has been suspended in the districts from 7PM on 11th December to 7PM on 12th December to curb violence and spread of protests in the State.",,
204,12/12/2019,12/13/2019,,News Media Article,https://www.indiatoday.in/india/story/mobile-internet-services-suspended-for-48-hours-in-meghalaya-1627874-2019-12-13,Asia Pacific,,India ,Level  2,"10 districts, Meghalaya",Law Enforcemnet ,,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,SMS,,Yes ,Public Safety / Quell Unrest / Restore Public Order,,,Protest,,No,Yes,Unknown,Unknown,Others,Yes,Section 144 CrCP,Unknown,,,"Mobile internet services have been suspended across Meghalaya for the next 48 hours, officials said. The development comes in the wake of the passage of the Citizenship (Amendment) Bill in Parliament. CVD Diengdoh, additional secretary to the government of Meghalaya (home police) department on Thursday said that mobile Internet and messaging were suspended for 48 hours from 5pm on Thursday in entire Meghalaya to prevent potential threat to public safety through SMS, WhatsApp, Facebook, Twitter and YouTube.",,
205,12/13/2019,12/13/2019,,CSO KIO Partners ,https://internetshutdowns.in/,Asia Pacific,,India ,Level 1,"Aligarh, Uttar Pradesh",Law Enforcemnet ,,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,SMS,,Yes ,Public Safety / Quell Unrest / Restore Public Order,,,Protest,,No,Yes,Unknown,Unknown,Others,Yes,Section 144 CrCP,Unknown,,,Internet has been shutdown in Aligarh till 5PM on 13th December 2019 because of protests regarding the Citizenship amendment bill.,,
206,12/15/2019,12/15/2019,,CSO KIO Partners ,https://internetshutdowns.in/,Asia Pacific,,India ,Level  2,"Uttar Pradesh, West Bengal",Law Enforcemnet ,,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,SMS,,Yes ,Public Safety / Quell Unrest / Restore Public Order,,,Protest,,No,Yes,Unknown,Unknown,Others,Yes,Section 144 CrCP,Unknown,,,"""In Meerut, the internet services will be unavailable till noon today, unless further orders are issued. Meerut District Magistrate Anil Dhingra told ANI that internet services have been suspended in the district from 12 pm of December 15 to 12 pm of December 16 in view of law and order maintenance.

In Aligarh, Internet was suspended from 15th December, 10PM to 16th December 10PM.""",,
207,12/18/2019,12/18/2019,,News Media Article,https://www.outlookindia.com/newsscroll/several-up-cities-face-internet-shutdown/1690123,Asia Pacific,,India ,Level  2,Several cities in Uttar Pradesh,Law Enforcemnet ,,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,SMS,,Yes ,Public Safety / Quell Unrest / Restore Public Order,,,Protest,,No,Yes,Unknown,Unknown,Others,Yes,Section 144 CrCP,Unknown,,,Internet has been suspended in the district of Azamgarh in Uttar Pradesh for 48 hours owning to protests about Citizenship amendment bill.,,
208,12/19/2019,12/21/2019,,News Media Article,https://timesofindia.indiatimes.com/city/mangaluru/caa-protests-in-mangaluru-mobile-internet-suspended-in-dakshina-kannada-district/articleshow/72895087.cms,Asia Pacific,,India ,Level 1,"Dakshina Kannada district, Karnataka",Law Enforcemnet ,,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Yes ,Fake News / Hate Speech / Incendiary Content or Promoting Violence,,,Protest,,No,Yes,Unknown,Unknown,Others,Unknown,,Unknown,,,Mobile internet services suspended for 48 hours in Mangaluru City and Dakshina Kannada district as an order given by the Karnataka Government.,,
209,12/20/2019,12/21/2019,,News Media Article,https://www.hindustantimes.com/india-news/nationwide-protests-continue-1000s-booked/story-rKTsjqpH7m2LJlILe3d9gP.html,Asia Pacific,,India ,Level  2,Madhya Pradesh,Law Enforcemnet ,,Shutdown,Mobile,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Yes ,Public Safety / Quell Unrest / Restore Public Order,,,Protest,,No,Yes,Unknown,Unknown,Others,Yes,Section 144 CrCP,Unknown,,,"Mobile Internet services remain suspended till noon on Saturday in Jabalpur, Bhopal and Indore.",,
210,12/22/2019,12/24/2019,,News Media Article,https://www.business-standard.com/article/news-ani/anti-caa-stir-internet-services-suspended-in-up-s-prayagraj-firozabad-119122200799_1.html,Asia Pacific,,India ,Level  2,Several cities in Uttar Pradesh,Law Enforcemnet ,,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,SMS,,Yes ,Fake News / Hate Speech / Incendiary Content or Promoting Violence,,,Protest,,No,Yes,Unknown,Unknown,Others,Yes,Section 144 CrCP,Unknown,,,Internet was suspended in Muzaffarnagar in Uttar Pradesh against Citizenship Amendment Bill.,,
211,12/22/2019,12/22/2019,,News Media Article,https://www.news18.com/news/india/internet-metro-to-remain-suspended-in-jaipur-on-sunday-2432175.html,Asia Pacific,,India ,Level 1,"Capital, Rajasthan",Law Enforcemnet ,,Shutdown,Mobile and broadband,Full and Service-based,TRUE,TRUE,TRUE,FALSE,FALSE,,SMS,,Yes ,Public Safety / Quell Unrest / Restore Public Order,,,Protest,,No,Unknown,Unknown,Unknown,Others,Unknown,,Unknown,,,"Internet services will remain suspended in the Rajasthan capital from 6 am to 8 pm on Sunday, 22nd December in wake of protest being staged by a community against the Citizen Amendment Act and the protest march being taken out by the ruling Congress, to be led by Chief Minister Ashok Gehlol.

All internet services ranging from 2G to 4G shall remain suspended on Sunday. Data mobile internet, bulk SMS-MMS, Whatsapp, Facebook, Twitter and other social media through internet service providers shall remain suspended.",,
212,12/27/2019,12/28/2019,,News Media Article,"https://www.ndtv.com/india-news/citizenship-amendment-act-parts-of-uttar-pradesh-go-offline-as-cops-brace-for-renewed-protests-2154866

https://www.msn.com/en-in/news/newsindia/caa-protests-live/ar-BBYnNOM?li=AAggbRN",Asia Pacific,,India ,Level  2,"Bijnor, Bulandshahar, Muzaffarnagar, Meerut, Agra, Firozabad, Sambhal, Aligarh, Ghaziabad, Rampur, Sitapur and Kanpur, Uttar Pradesh",Law Enforcemnet ,,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Yes ,Public Safety / Quell Unrest / Restore Public Order,,,Protest,,No,Unknown,Unknown,Unknown,Others,Unknown,,Unknown,,,"Internet connectivity was suspended in western Uttar Pradesh's Bijnor, Bulandshahar, Muzaffarnagar, Meerut, Agra, Firozabad, Sambhal, Aligarh, Ghaziabad, Rampur, Sitapur and Kanpur due to protests against the Citizenship Amendment Act. The duration of shutdowns in each of these districts is different,",,
